decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-14 18:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,113722.19263808057,113722.19263808057,113722.19263808057,-0.03698506739085681,-0.03698506739085681,-0.03698506739085681,0.0,False,none
2025-08-14 19:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,116680.54799212707,116680.54799212707,116680.54799212707,-0.01072840847629934,-0.01072840847629934,-0.01072840847629934,0.0,False,none
2025-08-14 20:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,114302.08758918292,114302.08758918292,114302.08758918292,-0.030238300889899896,-0.030238300889899896,-0.030238300889899896,0.0,False,none
2025-08-14 21:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,113237.5892350344,113237.5892350344,113237.5892350344,-0.03953862576260603,-0.03953862576260603,-0.03953862576260603,0.0,False,none
2025-08-14 22:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,118544.86911483706,118544.86911483706,118544.86911483706,0.002193076941468967,0.002193076941468967,0.002193076941468967,0.0,False,none
2025-08-14 23:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,118350.97344130582,118350.97344130582,118350.97344130582,0.0004724071075631388,0.0004724071075631388,0.0004724071075631388,0.0,False,none
2025-08-15 00:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,112722.33107019358,112722.33107019358,112722.33107019358,-0.046196885445439914,-0.046196885445439914,-0.046196885445439914,0.0,False,none
2025-08-15 01:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,118544.86911483706,118544.86911483706,118544.86911483706,-0.0011524182271406358,-0.0011524182271406358,-0.0011524182271406358,0.0,False,none
2025-08-15 02:00:00,2025-08-07 23:00:00,STRONG_SELL,SHORT,2025-08-15 03:00:00,118698.0,2025-08-15 07:00:00,118956.45,0.0007379699200435547,87.59555356932985,-0.19072832583525456,0.17538183546449496,0.08769091773224748,-0.45380107903199696,972.8301274690774,113985.6927227935,113985.6927227935,113985.6927227935,-0.03969997200632282,-0.03969997200632282,-0.03969997200632282,0.0,False,time_exit
2025-08-15 03:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.8301274690774,112599.8854170867,112599.8854170867,112599.8854170867,-0.05353520161623154,-0.05353520161623154,-0.05353520161623154,0.0,False,none
2025-08-15 04:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.8301274690774,115785.09414616224,115785.09414616224,115785.09414616224,-0.025648894535784846,-0.025648894535784846,-0.025648894535784846,0.0,False,none
2025-08-15 05:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.8301274690774,118063.77134449495,118063.77134449495,118063.77134449495,-0.0077364722309562544,-0.0077364722309562544,-0.0077364722309562544,0.0,False,none
2025-08-15 06:00:00,2025-08-07 23:00:00,STRONG_SELL,SHORT,2025-08-15 07:00:00,119082.83,2025-08-15 11:00:00,119006.01,0.0007352421123365724,87.55471147221697,0.05648129906970063,0.17505294164536422,0.08752647082268211,-0.20609811339834572,972.6240293556791,116645.16860454384,116645.16860454384,116645.16860454384,-0.020470218923738678,-0.020470218923738678,-0.020470218923738678,0.0,False,time_exit
2025-08-15 07:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.6240293556791,111560.87392889132,111560.87392889132,111560.87392889132,-0.062170450371616476,-0.062170450371616476,-0.062170450371616476,0.0,False,none
2025-08-15 08:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.6240293556791,111560.87392889132,111560.87392889132,111560.87392889132,-0.061557241456744155,-0.061557241456744155,-0.061557241456744155,0.0,False,none
2025-08-15 09:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.6240293556791,118544.86911483706,118544.86911483706,118544.86911483706,-0.001374135685078561,-0.001374135685078561,-0.001374135685078561,0.0,False,none
